#{"t_start": 1760385121.3675, "env_id": "ALE/Frogger-v5"}
r,l,t
11.0,361,1.477559
10.0,255,1.652629
8.0,245,1.814178
8.0,256,1.996281
7.0,257,2.154299
6.0,249,2.31831
15.0,293,2.521424
8.0,260,2.694964
13.0,284,2.884061
11.0,256,3.068634
12.0,285,3.278707
8.0,321,3.500852
6.0,273,3.696394
5.0,229,3.859406
10.0,263,4.05047
9.0,225,4.21648
7.0,289,4.416558
7.0,228,4.576071
7.0,217,4.739112
7.0,214,4.892655
8.0,269,5.085203
7.0,228,5.252217
9.0,227,5.42726
12.0,281,5.635832
10.0,268,5.817431
12.0,274,6.009943
9.0,253,6.187982
8.0,297,6.393994
7.0,255,6.57807
8.0,221,6.728084
8.0,209,6.877599
8.0,281,7.083207
6.0,226,7.24022
8.0,225,7.395799
9.0,217,7.543818
9.0,298,7.772876
11.0,320,8.010895
10.0,281,8.211529
12.0,378,8.475106
14.0,319,8.709128
9.0,281,8.909223
9.0,221,9.067878
7.0,239,9.239446
12.0,321,9.467471
8.0,263,9.649032
9.0,233,9.813867
13.0,291,10.033941
17.0,297,10.242131
8.0,281,10.443693
11.0,345,10.692349
9.0,261,10.88388
11.0,445,11.205917
14.0,310,11.430715
13.0,300,11.656748
11.0,276,11.854273
15.0,289,12.061299
17.0,254,12.250884
12.0,270,12.445918
9.0,228,12.60843
12.0,305,12.823506
6.0,221,12.98603
9.0,231,13.160037
11.0,289,13.369069
15.0,328,13.596594
15.0,289,13.807723
7.0,238,13.973745
11.0,221,14.141759
9.0,220,14.306777
14.0,352,14.559875
9.0,224,14.718393
8.0,231,14.897948
10.0,229,15.058969
9.0,270,15.250538
8.0,223,15.41105
6.0,239,15.594071
11.0,409,15.884642
8.0,217,16.038223
8.0,297,16.248785
10.0,292,16.45632
10.0,303,16.680349
9.0,313,16.905409
11.0,361,17.197445
17.0,348,17.449498
8.0,274,17.659024
9.0,340,17.903047
10.0,289,18.112581
11.0,338,18.367666
10.0,277,18.567691
8.0,221,18.729249
6.0,272,18.924842
9.0,388,19.206425
9.0,304,19.42049
11.0,289,19.623019
8.0,281,19.815603
10.0,230,19.977166
8.0,245,20.162176
13.0,253,20.34999
12.0,300,20.573165
11.0,281,20.784179
9.0,252,20.969193
10.0,270,21.162728
15.0,278,21.363287
15.0,256,21.544298
8.0,217,21.707815
8.0,220,21.868356
9.0,274,22.055393
6.0,233,22.222401
9.0,297,22.437443
9.0,213,22.592459
8.0,219,22.759535
