#{"t_start": 1760385153.5629156, "env_id": "ALE/Frogger-v5"}
r,l,t
7.0,239,0.158111
8.0,209,0.279178
13.0,280,0.436307
12.0,268,0.586817
10.0,227,0.714325
9.0,218,0.837343
8.0,234,0.972881
8.0,220,1.099006
8.0,239,1.732676
16.0,319,1.921246
12.0,267,2.072614
9.0,231,2.204126
9.0,220,2.330645
10.0,291,2.498736
11.0,253,2.643858
8.0,297,2.810898
9.0,240,3.439085
13.0,290,3.609147
12.0,265,3.760483
12.0,251,3.903993
10.0,220,4.030665
7.0,217,4.156014
8.0,229,4.288166
20.0,326,4.471769
10.0,239,5.114284
10.0,246,5.268303
18.0,345,5.460854
7.0,225,5.587585
16.0,272,5.740156
8.0,217,5.862664
8.0,227,5.990173
9.0,239,6.125687
9.0,213,6.754303
8.0,220,6.906811
11.0,231,7.039864
23.0,300,7.210009
16.0,273,7.365495
8.0,236,7.501016
9.0,222,7.627617
13.0,262,7.77598
10.0,264,8.415193
13.0,271,8.588466
12.0,247,8.728978
12.0,252,8.870583
13.0,225,8.998753
19.0,289,9.16388
13.0,251,9.305945
10.0,228,9.435883
10.0,233,9.567911
10.0,214,10.208207
13.0,245,10.351224
10.0,240,10.486469
12.0,251,10.630611
19.0,272,10.786636
10.0,256,10.931867
11.0,217,11.058889
15.0,231,11.190402
11.0,231,11.858535
19.0,266,12.031052
12.0,247,12.170962
15.0,286,12.336126
15.0,265,12.494284
11.0,251,12.638135
8.0,229,12.768657
9.0,219,12.893181
10.0,213,13.519045
10.0,219,13.660068
10.0,231,13.800574
12.0,237,13.946513
8.0,221,14.078581
22.0,273,14.235897
10.0,227,14.365139
12.0,234,14.498878
14.0,256,14.644578
10.0,225,15.277267
14.0,235,15.417846
10.0,215,15.541377
18.0,269,15.691885
11.0,217,15.815183
10.0,211,15.934695
11.0,228,16.064272
10.0,221,16.19072
20.0,273,16.345738
11.0,229,16.961854
16.0,233,17.102368
10.0,227,17.235886
12.0,236,17.368901
8.0,219,17.493034
10.0,239,17.631825
21.0,279,17.789975
10.0,226,17.920482
9.0,226,18.049505
10.0,217,18.673743
21.0,268,18.829265
13.0,243,18.970951
9.0,209,19.090085
12.0,228,19.220724
11.0,216,19.346279
13.0,232,19.476788
14.0,229,19.606306
17.0,253,20.273051
11.0,222,20.407085
10.0,228,20.539594
14.0,238,20.675196
10.0,220,20.800319
9.0,202,20.915835
15.0,224,21.04386
12.0,226,21.173374
14.0,255,21.316518
24.0,282,21.970983
9.0,228,22.110533
13.0,230,22.244554
10.0,223,22.370621
10.0,214,22.492133
12.0,221,22.617158
11.0,227,22.750484
11.0,223,22.877605
9.0,220,23.00212
9.0,230,23.670541
12.0,224,23.817713
11.0,220,23.948756
11.0,223,24.076262
9.0,230,24.207771
17.0,278,24.366475
11.0,208,24.486995
26.0,270,24.641147
12.0,219,24.765165
